timestamp,ask_price_0,ask_vol_0,bid_price_0,bid_vol_0,ask_price_1,ask_vol_1,bid_price_1,bid_vol_1,ask_price_2,ask_vol_2,bid_price_2,bid_vol_2,ask_price_3,ask_vol_3,bid_price_3,bid_vol_3,ask_price_4,ask_vol_4,bid_price_4,bid_vol_4,ask_price_5,ask_vol_5,bid_price_5,bid_vol_5,ask_price_6,ask_vol_6,bid_price_6,bid_vol_6,ask_price_7,ask_vol_7,bid_price_7,bid_vol_7,ask_price_8,ask_vol_8,bid_price_8,bid_vol_8,ask_price_9,ask_vol_9,bid_price_9,bid_vol_9
1777502558465,75933.02,3.45796,75933.01,0.65269,75933.03,0.00036,75933.0,0.00618,75933.18,0.04515,75932.81,0.00014,75933.21,0.12736,75932.8,0.00007,75933.46,0.04014,75932.34,0.00235,75933.5,0.003,75932.0,0.0012,75934.22,0.00007,75931.95,0.00007,75934.75,0.00007,75931.84,0.00197,75934.76,0.69753,75930.95,0.00008,75934.77,0.00008,75930.7,0.00314
1777502558564,75933.02,3.02335,75933.01,0.92705,75933.03,0.00071,75933.0,0.00604,75933.17,0.00014,75932.81,0.00014,75933.18,0.04515,75932.8,0.00007,75933.2,0.00014,75932.34,0.00235,75933.21,0.12736,75932.0,0.0012,75933.45,0.00014,75931.95,0.00007,75933.46,0.04014,75931.84,0.00197,75933.5,0.003,75930.95,0.00008,75934.22,0.00007,75930.7,0.00314
1777502558664,75933.02,2.40984,75933.01,1.04517,75933.03,0.00071,75933.0,0.00604,75933.17,0.00014,75932.81,0.00014,75933.18,0.04515,75932.8,0.00007,75933.2,0.00014,75932.34,0.00235,75933.21,0.12736,75932.0,0.0012,75933.45,0.00014,75931.95,0.00007,75933.46,0.04014,75931.84,0.00197,75933.5,0.003,75930.96,0.00014,75934.22,0.00007,75930.95,0.00015
1777502558763,75933.02,2.4079,75933.01,1.04524,75933.03,0.00078,75933.0,0.00604,75933.17,0.00014,75932.81,0.00014,75933.18,0.04515,75932.8,0.00007,75933.2,0.00014,75932.34,0.00235,75933.21,0.12736,75932.0,0.0012,75933.45,0.00014,75931.95,0.00007,75933.46,0.04014,75931.84,0.00197,75933.5,0.003,75930.95,0.00015,75934.22,0.00007,75930.7,0.00314
1777502558864,75933.02,2.40797,75933.01,1.04482,75933.03,0.00078,75933.0,0.00604,75933.17,0.00014,75932.81,0.00014,75933.18,0.04515,75932.8,0.00007,75933.2,0.00014,75932.34,0.00235,75933.21,0.12736,75932.0,0.0012,75933.45,0.00014,75931.95,0.00007,75933.46,0.04014,75931.84,0.00197,75934.22,0.00007,75930.95,0.00008,75934.74,2.0517,75930.7,0.00314
1777502558965,75933.02,2.40783,75933.01,1.04489,75933.03,0.00071,75933.0,0.00604,75933.17,0.00014,75932.81,0.00014,75933.18,0.04515,75932.8,0.00007,75933.2,0.00014,75932.34,0.00235,75933.21,0.12743,75932.0,0.0012,75933.45,0.00014,75931.95,0.00007,75933.46,0.04014,75931.84,0.00197,75934.22,0.00007,75930.95,0.00008,75934.72,0.00007,75930.7,0.00314
1777502559064,75933.02,2.40783,75933.01,0.98843,75933.03,0.00071,75933.0,0.00604,75933.17,0.00014,75932.81,0.00014,75933.18,0.04515,75932.8,0.00007,75933.2,0.00014,75932.34,0.00235,75933.21,0.12743,75932.0,0.0012,75933.45,0.00014,75931.95,0.00007,75933.46,0.04014,75931.84,0.00197,75934.22,0.00007,75930.95,0.00008,75934.72,0.00014,75930.7,0.00314
1777502559164,75933.02,2.40783,75933.01,0.98829,75933.03,0.00071,75933.0,0.00604,75933.17,0.00014,75932.81,0.00014,75933.18,0.04515,75932.8,0.00007,75933.2,0.00014,75932.34,0.00235,75933.21,0.12743,75932.0,0.0012,75933.45,0.00014,75931.95,0.00007,75933.46,0.04014,75931.84,0.00197,75934.22,0.00007,75930.95,0.00008,75934.72,0.00014,75930.7,0.00314
1777502559264,75933.02,2.4079,75933.01,0.98829,75933.03,0.00071,75933.0,0.00604,75933.15,0.00007,75932.81,0.00014,75933.16,0.06001,75932.8,0.00007,75933.18,0.00014,75932.34,0.00235,75933.2,0.00014,75932.0,0.0012,75933.21,0.12743,75931.95,0.00007,75933.45,0.00014,75931.84,0.00197,75933.46,0.04014,75930.95,0.00008,75934.22,0.00007,75930.7,0.00314
1777502559364,75933.02,2.4079,75933.01,0.98817,75933.03,0.00071,75933.0,0.00604,75933.15,0.00014,75932.81,0.00014,75933.16,0.06015,75932.8,0.00007,75933.2,0.00014,75932.34,0.00235,75933.21,0.12743,75932.0,0.0012,75933.45,0.00014,75931.95,0.00007,75933.46,0.04014,75931.84,0.00197,75934.72,0.00022,75930.95,0.00008,75934.73,0.65878,75930.7,0.00314
1777502559464,75933.02,2.4079,75933.01,0.98831,75933.03,0.00071,75933.0,0.00604,75933.15,0.00014,75932.81,0.00014,75933.16,0.06015,75932.8,0.00007,75933.2,0.00014,75932.34,0.00235,75933.21,0.12743,75932.0,0.0012,75933.45,0.00014,75931.95,0.00007,75933.46,0.04014,75931.84,0.00197,75934.72,0.00022,75930.95,0.00008,75934.73,0.65878,75930.7,0.00314
1777502559564,75933.02,2.40035,75933.01,0.98866,75933.03,0.00071,75933.0,0.00604,75933.15,0.00014,75932.81,0.00014,75933.16,0.06015,75932.8,0.00007,75933.2,0.00014,75932.34,0.00235,75933.21,0.12743,75932.0,0.0012,75933.45,0.00014,75931.95,0.00007,75933.46,0.04014,75931.84,0.00197,75934.72,0.1417,75930.95,0.00008,75934.73,0.65878,75930.7,0.00314
1777502559664,75933.02,2.40035,75933.01,0.98859,75933.03,0.00078,75933.0,0.00604,75933.15,0.00014,75932.81,0.00014,75933.16,0.06015,75932.8,0.00007,75933.2,0.00014,75932.34,0.00235,75933.21,0.1275,75932.0,0.0012,75933.45,0.00014,75931.95,0.00007,75933.46,0.04014,75931.84,0.00197,75934.72,0.14184,75930.95,0.00008,75934.73,0.65871,75930.7,0.00314
1777502559764,75933.02,2.40028,75933.01,0.98817,75933.03,0.00071,75933.0,0.00604,75933.15,0.00014,75932.81,0.00014,75933.16,0.06015,75932.8,0.00007,75933.2,0.00014,75932.34,0.00235,75933.21,0.1275,75932.0,0.0012,75933.45,0.00014,75931.95,0.00007,75933.46,0.04014,75931.84,0.00197,75934.72,0.00036,75930.95,0.00008,75934.73,0.65878,75930.7,0.00314
1777502559864,75933.02,2.40028,75933.01,0.98873,75933.03,0.00071,75933.0,0.00604,75933.15,0.00014,75932.81,0.00014,75933.16,0.06015,75932.8,0.00007,75933.2,0.00014,75932.34,0.00235,75933.21,0.1275,75932.0,0.0012,75933.45,0.00014,75931.95,0.00007,75933.46,0.04014,75931.84,0.00197,75934.72,0.1417,75930.95,0.00008,75934.73,0.65871,75930.7,0.00314
